,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
count,87396,87396.0,87396.0,87396.0,87396,87396.0,87396.0,87396.0,87396.0,87396.0,87396.0,87396.0,87396,87396,87396,87396,87396.0,87396.0,87396.0,87396,87396,87396.0,87396,87396.0,87396.0,87396.0,87396,87396.0,87396.0,87396.0,87396,87396
unique,2,,,,12,,,,,,,,5,178,8,5,,,,10,12,,3,,,,4,,,,3,926
top,City Hotel,,,,August,,,,,,,,BB,PRT,Online TA,TA/TO,,,,A,A,,No Deposit,,,,Transient,,,,Check-Out,2016-02-14
freq,53428,,,,11257,,,,,,,,67978,27453,51618,69141,,,,56552,46313,,86251,,,,71986,,,,63371,211
mean,,0.27489816467572886,79.89136802599661,2016.2102956657054,,26.838333562176757,15.815540757014052,1.005263398782553,2.6253947549086916,1.8757952309030161,0.13863969242035884,0.010824294018032862,,,,,0.03907501487482264,0.03041329122614307,0.18399011396402581,,,0.27160281935100006,,94.13830565270003,183.08138429359195,0.7495651974918761,,106.33724644148474,0.08422582269211405,0.6985674401574443,,
std,,0.44646550204710295,86.05232533962153,0.6861020602454406,,13.674571678018442,8.835146445793658,1.0319213109741292,2.0535839211560565,0.6265002108807924,0.45587043725124604,0.11359653697167238,,,,,0.19377457966597833,0.3691452619302131,1.7318937012106528,,,0.7272452671225519,,104.99592567037645,32.0235283745875,10.015730937982836,,55.013953291892406,0.2815332738012707,0.8319459785015434,,
min,,0.0,0.0,2015.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,1.0,6.0,0.0,,-6.38,0.0,0.0,,
25%,,0.0,11.0,2016.0,,16.0,8.0,0.0,1.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,9.0,183.08138429359192,0.0,,72.0,0.0,0.0,,
50%,,0.0,49.0,2016.0,,27.0,16.0,1.0,2.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,28.0,183.08138429359192,0.0,,98.1,0.0,0.0,,
75%,,1.0,125.0,2017.0,,37.0,23.0,2.0,4.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,234.0,183.08138429359192,0.0,,134.0,0.0,1.0,,
max,,1.0,737.0,2017.0,,53.0,31.0,19.0,50.0,55.0,10.0,10.0,,,,,1.0,26.0,72.0,,,21.0,,535.0,543.0,391.0,,5400.0,8.0,5.0,,
